Match,Chrono,Score_team1,Score_team2,Possession,Start_type,Start_time,End_time,Start_zone,Start_zone_value,End_zone,End_zone_value,Résultat,Dernière action,Passe,Ruck,Offload,Jeu au pied,Maul,Relâché,Départ ruck,Dégagement
ASM Clermont - Rugby Club Toulonnais,0'-20',0,0,ASM Clermont,Coup de pied,1700600584.3371437,1700600652.0004995,22m1,1,40m2,4,Touche,Dégagement,1,2,0,0,0,0,0,1
ASM Clermont - Rugby Club Toulonnais,0'-20',0,0,Rugby Club Toulonnais,Touche,1700600668.1222122,1700600702.4147465,40m3,7,22m4,10,Pénalité -,Offload,9,3,2,0,0,0,0,0
ASM Clermont - Rugby Club Toulonnais,0'-20',0,0,ASM Clermont,Touche,1700600710.8782284,1700600743.8489099,40m1,3,10m1,5,Perte,Jeu au pied,4,1,0,1,0,0,0,0
ASM Clermont - Rugby Club Toulonnais,0'-20',0,0,Rugby Club Toulonnais,Coup de pied,1700600750.121291,1700600785.3570118,10m2,6,22m3,9,Pénalité -,Dégagement,2,3,1,0,0,0,0,1
ASM Clermont - Rugby Club Toulonnais,0'-20',0,0,ASM Clermont,Touche,1700600802.01738,1700600829.3819716,10m1,5,En-but,11,Essai,Passe,9,2,0,0,0,0,0,0
ASM Clermont - Rugby Club Toulonnais,0'-20',7,0,ASM Clermont,Coup de pied,1700600848.6709027,1700600876.3218648,22m2,2,10m1,5,Touche,Dégagement,0,1,0,0,0,0,0,1
ASM Clermont - Rugby Club Toulonnais,0'-20',7,0,Rugby Club Toulonnais,Touche,1700600895.38316,1700600903.1434908,10m2,6,22m4,10,Drop -,Passe,2,0,0,0,0,0,0,0
ASM Clermont - Rugby Club Toulonnais,0'-20',7,0,ASM Clermont,Mêlée,1700600914.8524244,1700600971.5020866,10m1,5,40m3,7,Pénalité -,Ruck,10,6,0,0,0,0,0,0
ASM Clermont - Rugby Club Toulonnais,0'-20',7,0,Rugby Club Toulonnais,Touche,1700600988.3482223,1700601027.0953994,22m3,9,22m4,10,Pénalité -,Maul,0,0,0,0,1,0,0,0
ASM Clermont - Rugby Club Toulonnais,0'-20',7,0,Rugby Club Toulonnais,Touche,1700601075.8230236,1700601119.0562055,10m2,6,22m3,9,Perte,Passe,4,1,1,0,1,0,0,0
ASM Clermont - Rugby Club Toulonnais,0'-20',7,3,Rugby Club Toulonnais,Coup de pied,1700601198.9426935,1700601260.5218072,40m2,4,40m4,8,Perte,Dégagement,3,3,0,1,0,0,0,1
ASM Clermont - Rugby Club Toulonnais,0'-20',7,3,ASM Clermont,Coup de pied,1700601266.3509197,1700601312.719774,40m1,3,40m3,7,Perte,Jeu au pied,4,3,1,1,0,0,1,0
ASM Clermont - Rugby Club Toulonnais,0'-20',7,3,Rugby Club Toulonnais,Coup de pied,1700601318.6213553,1700601375.7040787,40m2,4,40m4,8,Perte,Jeu au pied,9,5,0,1,0,0,0,0
ASM Clermont - Rugby Club Toulonnais,0'-20',7,3,ASM Clermont,Coup de pied,1700601381.9996593,1700601412.477066,40m1,3,10m1,5,Touche,Dégagement,1,2,0,0,0,0,0,1
ASM Clermont - Rugby Club Toulonnais,0'-20',7,3,Rugby Club Toulonnais,Touche,1700601427.3220844,1700601448.3350472,10m2,6,22m4,10,Pénalité -,Jeu au pied,4,1,0,1,0,0,0,0
ASM Clermont - Rugby Club Toulonnais,20'-40',7,3,Rugby Club Toulonnais,Coup de pied,1700601460.0722702,1700601497.4487283,10m2,6,10m1,5,Perte,Passe,6,1,0,0,0,0,0,0
ASM Clermont - Rugby Club Toulonnais,20'-40',7,3,ASM Clermont,Turnover,1700601512.4563403,1700601549.9443762,10m1,5,40m3,7,Perte,Ruck,7,4,1,0,0,0,0,0
ASM Clermont - Rugby Club Toulonnais,20'-40',7,3,Rugby Club Toulonnais,Turnover,1700601560.4529502,1700601571.282505,40m2,4,40m3,7,Perte,Jeu au pied,2,1,0,1,0,0,0,0
ASM Clermont - Rugby Club Toulonnais,20'-40',7,3,ASM Clermont,Coup de pied,1700601650.0984528,1700601660.1551325,40m2,4,40m4,8,Touche,Jeu au pied,1,0,1,1,0,0,0,0
ASM Clermont - Rugby Club Toulonnais,20'-40',7,3,Rugby Club Toulonnais,Touche,1700601695.7453818,1700601709.4362423,10m2,6,40m4,8,Perte,Jeu au pied,3,1,0,1,0,0,0,0
ASM Clermont - Rugby Club Toulonnais,20'-40',7,3,Rugby Club Toulonnais,Turnover,1700601727.9882302,1700601771.6063156,40m4,8,22m3,9,Pénalité +,Ruck,6,2,1,0,0,0,0,0
ASM Clermont - Rugby Club Toulonnais,20'-40',7,3,Rugby Club Toulonnais,Touche,1700601783.5058641,1700601828.3316302,22m4,10,En-but,11,Essai,Départ ruck,0,1,0,0,1,0,1,0
ASM Clermont - Rugby Club Toulonnais,20'-40',7,10,Rugby Club Toulonnais,Coup de pied,1700601845.5240412,1700601875.8019125,22m1,1,10m1,5,Perte,Dégagement,0,1,0,0,0,0,0,1
ASM Clermont - Rugby Club Toulonnais,20'-40',7,10,ASM Clermont,Coup de pied,1700601880.615293,1700601898.3968081,10m2,6,22m3,9,Touche,Jeu au pied,2,2,0,1,0,0,0,0
