Match,Chrono,Score_team1,Score_team2,Possession,Start_type,Start_time,End_time,Start_zone,Start_zone_value,End_zone,End_zone_value,Résultat,Dernière action,Passe,Ruck,Offload,Jeu au pied,Maul,Relâché,Départ ruck,Dégagement
Aviron Bayonnais - Section Paloise,0'-20',0,0,Section Paloise,Coup de pied,1700594530.556848,1700594561.8158102,40m1,3,40m3,7,Perte,Dégagement,1,2,0,0,0,0,0,1
Aviron Bayonnais - Section Paloise,0'-20',0,0,Aviron Bayonnais,Coup de pied,1700594567.6136694,1700594599.9382372,40m2,4,40m4,8,Perte,Jeu au pied,5,4,0,1,0,0,0,0
Aviron Bayonnais - Section Paloise,0'-20',0,0,Section Paloise,Coup de pied,1700594607.1045108,1700594638.2921681,40m1,3,40m3,7,Perte,Dégagement,1,2,0,0,0,0,0,1
Aviron Bayonnais - Section Paloise,0'-20',0,0,Aviron Bayonnais,Coup de pied,1700594643.2404504,1700594666.8787072,40m2,4,10m2,6,Pénalité -,Ruck,6,3,1,0,0,0,0,0
Aviron Bayonnais - Section Paloise,0'-20',0,0,Section Paloise,Touche,1700595001.7991579,1700595043.7991579,40m4,8,22m3,9,Pénalité +,Jeu au pied,10,5,0,1,0,0,0,0
Aviron Bayonnais - Section Paloise,0'-20',0,3,Aviron Bayonnais,Touche,1700595096.072874,1700595135.072874,10m1,5,40m2,4,Pénalité -,Ruck,8,6,0,0,0,0,0,0
Aviron Bayonnais - Section Paloise,0'-20',0,6,Section Paloise,Coup de pied,1700595161.2320032,1700595178.7498956,22m2,2,40m3,7,Perte,Dégagement,0,1,0,0,0,0,0,1
Aviron Bayonnais - Section Paloise,0'-20',0,6,Aviron Bayonnais,Coup de pied,1700595183.3691509,1700595228.7566295,40m2,4,40m4,8,Perte,Passe,8,4,0,1,0,0,0,0
Aviron Bayonnais - Section Paloise,0'-20',0,6,Section Paloise,Turnover,1700595236.7790956,1700595248.7867496,40m1,3,22m3,9,Perte,Dégagement,1,1,0,0,0,0,0,1
Aviron Bayonnais - Section Paloise,0'-20',0,6,Section Paloise,Touche,1700595302.2988987,1700595328.672053,10m2,6,40m3,7,Pénalité -,Jeu au pied,5,2,0,1,0,0,0,0
Aviron Bayonnais - Section Paloise,0'-20',0,6,Aviron Bayonnais,Touche,1700595384.9828894,1700595449.197751,40m3,7,22m4,10,Pénalité +,Jeu au pied,8,4,0,1,1,0,1,0
