Match,Chrono,Score_team1,Score_team2,Possession,Start_type,Start_time,End_time,Start_zone,Start_zone_value,End_zone,End_zone_value,Résultat,Dernière action,Passe,Ruck,Offload,Jeu au pied,Maul,Relâché,Départ ruck,Dégagement
Castres Olympique - Stade Toulousain,0'-20',0,0,Castres Olympique,Coup de pied,1700744601.6862533,1700744643.5828667,40m1,3,10m2,6,Perte,Dégagement,1,2,0,0,0,0,0,1
Castres Olympique - Stade Toulousain,0'-20',0,0,Stade Toulousain,Coup de pied,1700744650.197442,1700744671.5339508,10m1,5,10m1,5,Touche,Passe,4,2,0,0,0,0,0,0
Castres Olympique - Stade Toulousain,0'-20',0,0,Castres Olympique,Touche,1700744678.3688593,1700744720.8731108,10m2,6,22m4,10,Perte,Dégagement,7,3,0,0,0,0,0,1
Castres Olympique - Stade Toulousain,0'-20',0,0,Castres Olympique,Touche,1700744738.470713,1700744762.0981598,10m2,6,22m4,10,Touche,Jeu au pied,5,1,0,1,0,0,0,0
Castres Olympique - Stade Toulousain,0'-20',0,0,Castres Olympique,Touche,1700744791.3400552,1700744856.6289449,22m1,1,22m4,10,Pénalité -,Jeu au pied,1,7,0,1,0,0,5,0
Castres Olympique - Stade Toulousain,0'-20',0,0,Castres Olympique,Touche,1700744858.5590541,1700744925.3590977,40m3,7,22m3,9,Perte,Jeu au pied,2,2,1,1,1,0,1,0
Castres Olympique - Stade Toulousain,0'-20',0,0,Stade Toulousain,Coup de pied,1700744934.4363832,1700744967.6726902,22m2,2,40m2,4,Touche,Dégagement,1,2,0,0,0,0,0,1
Castres Olympique - Stade Toulousain,0'-20',0,0,Castres Olympique,Mêlée,1700744972.6936765,1700745000.438878,40m3,7,22m3,9,Touche,Jeu au pied,2,0,0,1,0,0,0,0
Castres Olympique - Stade Toulousain,0'-20',0,0,Stade Toulousain,Touche,1700745018.27822,1700745029.3291445,22m2,2,22m2,2,Pénalité +,Ruck,2,1,0,0,0,0,0,0
Castres Olympique - Stade Toulousain,0'-20',0,0,Stade Toulousain,Touche,1700745052.2154012,1700745066.1011462,10m1,5,10m2,6,Perte,Ruck,3,1,0,0,0,0,0,0
Castres Olympique - Stade Toulousain,0'-20',0,0,Stade Toulousain,Coup de pied,1700745091.8302562,1700745131.2626963,40m2,4,40m3,7,Perte,Dégagement,3,2,0,0,0,0,0,1
Castres Olympique - Stade Toulousain,0'-20',0,0,Castres Olympique,Coup de pied,1700745136.5352674,1700745167.2474434,40m2,4,10m2,6,Pénalité +,Passe,4,2,0,0,0,0,0,0
Castres Olympique - Stade Toulousain,0'-20',0,0,Castres Olympique,Touche,1700745206.234465,1700745250.5518003,22m3,9,22m3,9,Perte,Ruck,2,4,0,0,0,0,0,0
Castres Olympique - Stade Toulousain,0'-20',0,0,Stade Toulousain,Turnover,1700745255.1562617,1700745269.8145049,22m2,2,40m4,8,Perte,Dégagement,1,1,0,0,0,0,0,1
Castres Olympique - Stade Toulousain,0'-20',3,0,Castres Olympique,Coup de pied,1700745313.5741444,1700745373.6999161,40m1,3,10m2,6,Perte,Jeu au pied,1,2,0,1,0,0,0,0
Castres Olympique - Stade Toulousain,0'-20',3,0,Stade Toulousain,Coup de pied,1700745377.3277516,1700745428.5946095,10m1,5,10m2,6,Pénalité +,Ruck,10,6,0,0,0,0,0,0
Castres Olympique - Stade Toulousain,20'-40',3,3,Stade Toulousain,Coup de pied,1700745472.9452665,1700745505.1857495,22m2,2,40m2,4,Touche,Dégagement,0,1,0,0,0,0,0,1
Castres Olympique - Stade Toulousain,20'-40',3,3,Castres Olympique,Touche,1700745518.9419723,1700745527.7794158,40m3,7,En-but,11,Essai,Passe,4,0,0,0,0,0,0,0
Castres Olympique - Stade Toulousain,20'-40',10,3,Castres Olympique,Touche,1700745563.21822,1700745613.8063955,40m3,7,40m4,8,Pénalité -,Ruck,1,4,0,0,1,0,3,0
Castres Olympique - Stade Toulousain,20'-40',10,3,Stade Toulousain,Jeux rapide,1700745641.0791473,1700745687.031927,10m2,6,22m4,10,Touche,Jeu au pied,6,7,1,1,0,0,3,0
Castres Olympique - Stade Toulousain,20'-40',10,3,Castres Olympique,Touche,1700745721.874559,1700745765.1564548,22m1,1,40m1,3,Touche,Dégagement,1,2,0,0,0,0,0,1
Castres Olympique - Stade Toulousain,20'-40',10,3,Castres Olympique,Turnover,1700745789.81932,1700745804.04881,40m1,3,22m2,2,Pénalité +,Ruck,0,2,0,0,0,0,1,0
Castres Olympique - Stade Toulousain,20'-40',10,3,Stade Toulousain,Touche,1700745845.9328434,1700745885.2179377,40m4,8,22m3,9,Pénalité +,Ruck,3,5,0,0,1,0,2,0
Castres Olympique - Stade Toulousain,20'-40',10,6,Castres Olympique,Coup de pied,1700745918.318786,1700745944.6899137,40m4,8,22m3,9,Perte,Jeu au pied,2,3,0,1,0,0,1,0
Castres Olympique - Stade Toulousain,20'-40',10,6,Castres Olympique,Coup de pied,1700745949.2869759,1700745986.8991232,40m3,7,22m4,10,Drop -,Passe,3,3,1,0,0,0,0,0
Castres Olympique - Stade Toulousain,20'-40',10,6,Castres Olympique,Coup de pied,1700746155.6984236,1700746162.6984236,40m2,4,10m2,6,Perte,Jeu au pied,1,0,0,1,0,0,0,0
Castres Olympique - Stade Toulousain,20'-40',10,6,Stade Toulousain,Coup de pied,1700746183.5323842,1700746214.8734593,10m1,5,10m2,6,Perte,Jeu au pied,3,3,0,1,0,0,0,0
Castres Olympique - Stade Toulousain,20'-40',10,6,Castres Olympique,Coup de pied,1700746219.928596,1700746243.1909785,10m1,5,40m4,8,Perte,Dégagement,1,2,0,0,0,0,0,1
Castres Olympique - Stade Toulousain,20'-40',10,6,Stade Toulousain,Touche,1700746309.059263,1700746334.059263,10m2,6,22m4,10,Perte,Jeu au pied,3,2,0,1,0,0,1,0
Castres Olympique - Stade Toulousain,20'-40',10,6,Stade Toulousain,Coup de pied,1700746338.454244,1700746366.8542778,40m2,4,40m4,8,Touche,Jeu au pied,1,1,0,1,0,0,0,0
Castres Olympique - Stade Toulousain,20'-40',10,6,Castres Olympique,,1700746380.6692834,1700746388.4166508,40m1,3,40m2,4,Pénalité -,Ruck,2,1,0,0,0,0,0,0
Castres Olympique - Stade Toulousain,40'-60',10,9,Stade Toulousain,Coup de pied,1700746913.043401,1700746946.4323285,22m2,2,40m2,4,Touche,Dégagement,0,1,0,0,0,0,0,1
Castres Olympique - Stade Toulousain,40'-60',10,9,Castres Olympique,Touche,1700746962.190778,1700746997.4205484,40m3,7,40m4,8,Perte,Ruck,6,5,0,0,0,0,0,0
Castres Olympique - Stade Toulousain,40'-60',10,9,Stade Toulousain,Coup de pied,1700747011.9604278,1700747066.8876636,40m2,4,10m2,6,Perte,Jeu au pied,2,3,0,1,0,0,0,0
Castres Olympique - Stade Toulousain,40'-60',10,9,Castres Olympique,Coup de pied,1700747072.8388796,1700747095.0635457,10m1,5,En-but,11,Essai,Offload,4,1,3,0,0,0,0,0
Castres Olympique - Stade Toulousain,40'-60',17,9,Castres Olympique,Coup de pied,1700747132.3845139,1700747170.7689211,40m1,3,40m3,7,Perte,Dégagement,2,1,0,0,0,0,0,1
Castres Olympique - Stade Toulousain,40'-60',17,9,Stade Toulousain,Mêlée,1700747216.7356613,1700747306.2966113,40m3,7,22m4,10,Pénalité -,Jeu au pied,10,9,3,1,0,1,2,0
