Match,Chrono,Score_team1,Score_team2,Possession,Start_type,Start_time,End_time,Start_zone,Start_zone_value,End_zone,End_zone_value,Résultat,Dernière action,Passe,Ruck,Offload,Jeu au pied,Maul,Relâché,Départ ruck,Dégagement
Oyonnax Rugby - LOU Rugby,0'-20',0,0,LOU Rugby,Coup de pied,1700572067.9320035,1700572093.0000632,22m1,1,10m1,5,Touche,Dégagement,0,1,0,0,0,0,0,1
Oyonnax Rugby - LOU Rugby,0'-20',0,0,Oyonnax Rugby,Touche,1700572102.7751815,1700572136.139495,10m2,6,40m3,7,Pénalité +,Passe,4,2,1,0,0,0,1,0
Oyonnax Rugby - LOU Rugby,0'-20',0,0,Oyonnax Rugby,Mêlée,1700572173.5698366,1700572189.8478286,40m3,7,10m2,6,Perte,Passe,3,0,0,0,0,0,0,0
Oyonnax Rugby - LOU Rugby,0'-20',0,0,LOU Rugby,Turnover,1700572196.0003583,1700572289.8301091,10m1,5,10m1,5,Touche,Dégagement,11,12,0,1,0,0,2,1
Oyonnax Rugby - LOU Rugby,0'-20',0,0,Oyonnax Rugby,Touche,1700572325.0072024,1700572331.3170662,10m1,5,10m2,6,Pénalité +,Maul,0,0,0,0,1,0,0,0
Oyonnax Rugby - LOU Rugby,0'-20',0,0,Oyonnax Rugby,Touche,1700572343.7765107,1700572418.980066,22m3,9,22m4,10,Pénalité +,Jeu au pied,8,7,1,1,0,0,0,0
Oyonnax Rugby - LOU Rugby,0'-20',3,0,Oyonnax Rugby,Coup de pied,1700572438.4147093,1700572475.9116764,22m1,1,40m3,7,Perte,Dégagement,0,1,0,0,0,0,0,1
Oyonnax Rugby - LOU Rugby,0'-20',3,0,LOU Rugby,Coup de pied,1700572482.899049,1700572489.8589,40m2,4,40m4,8,Touche,Dégagement,0,0,0,0,0,0,0,1
Oyonnax Rugby - LOU Rugby,0'-20',3,0,Oyonnax Rugby,Touche,1700572514.5959368,1700572524.5123198,,0,40m4,8,Perte,Jeu au pied,1,1,0,1,0,0,0,0
Oyonnax Rugby - LOU Rugby,0'-20',3,0,LOU Rugby,Coup de pied,1700572531.3000073,1700572539.9318771,40m1,3,40m1,3,Pénalité -,Ruck,0,1,0,0,0,0,0,0
Oyonnax Rugby - LOU Rugby,0'-20',6,0,Oyonnax Rugby,Coup de pied,1700572561.606327,1700572581.096836,22m2,2,22m2,2,Pénalité +,Ruck,1,2,0,0,0,0,0,0
Oyonnax Rugby - LOU Rugby,0'-20',6,0,Oyonnax Rugby,Touche,1700572585.5277476,1700572611.9931371,10m1,5,40m3,7,Pénalité -,Jeu au pied,0,0,0,1,1,0,0,0
Oyonnax Rugby - LOU Rugby,0'-20',6,0,LOU Rugby,Touche,1700572723.2414644,1700572736.6911807,40m3,7,40m4,8,Pénalité +,Ruck,4,2,0,0,0,0,0,0
Oyonnax Rugby - LOU Rugby,0'-20',6,3,LOU Rugby,Coup de pied,1700572753.1745806,1700572769.346979,40m1,3,22m2,2,Pénalité -,Ruck,0,1,0,0,0,0,0,0
Oyonnax Rugby - LOU Rugby,0'-20',6,3,Oyonnax Rugby,Touche,1700572777.0778096,1700572788.9415677,22m4,10,22m4,10,Pénalité +,Maul,0,0,0,0,1,0,0,0
Oyonnax Rugby - LOU Rugby,0'-20',6,3,Oyonnax Rugby,Mêlée,1700572808.547911,1700572843.2206056,22m4,10,En-but,11,Essai,Passe,2,2,0,0,0,0,1,0
Oyonnax Rugby - LOU Rugby,20'-40',13,3,LOU Rugby,Touche,1700572875.2392247,1700572916.4475176,10m2,6,40m3,7,Perte,Jeu au pied,6,2,0,1,0,0,0,0
Oyonnax Rugby - LOU Rugby,20'-40',13,3,Oyonnax Rugby,Coup de pied,1700572925.09349,1700572938.8475711,40m2,4,40m2,4,Pénalité -,Ruck,1,2,0,0,0,0,0,0
Oyonnax Rugby - LOU Rugby,20'-40',13,3,LOU Rugby,Touche,1700572969.2826087,1700572989.8730648,22m3,9,22m3,9,Pénalité +,Passe,3,1,0,0,1,0,0,0
Oyonnax Rugby - LOU Rugby,20'-40',13,3,LOU Rugby,Touche,1700572995.2817404,1700573037.9715376,22m4,10,22m4,10,Pénalité -,Ruck,0,1,0,0,1,0,0,0
Oyonnax Rugby - LOU Rugby,20'-40',13,3,Oyonnax Rugby,Mêlée,1700573043.6897843,1700573073.1096423,22m1,1,10m2,6,Perte,Dégagement,1,1,0,0,0,0,0,1
Oyonnax Rugby - LOU Rugby,20'-40',13,3,LOU Rugby,Coup de pied,1700573080.5706859,1700573092.6629784,10m1,5,40m4,8,Pénalité +,Ruck,0,1,0,1,0,0,0,0
Oyonnax Rugby - LOU Rugby,20'-40',13,3,LOU Rugby,Jeux rapide,1700573099.520348,1700573124.649407,40m4,8,10m2,6,Perte,Dégagement,3,0,0,0,0,0,0,1
Oyonnax Rugby - LOU Rugby,20'-40',13,3,Oyonnax Rugby,Coup de pied,1700573142.734468,1700573202.2544148,10m1,5,22m4,10,Pénalité +,Ruck,12,5,0,0,0,0,0,0
Oyonnax Rugby - LOU Rugby,20'-40',13,3,Oyonnax Rugby,Jeux rapide,1700573237.4994614,1700573279.2797985,22m4,10,En-but,11,Essai,Passe,4,4,0,0,0,0,2,0
Oyonnax Rugby - LOU Rugby,20'-40',20,3,LOU Rugby,Touche,1700573323.7543643,1700573336.5613441,10m1,5,10m1,5,Pénalité -,Passe,2,0,0,0,1,0,0,0
Oyonnax Rugby - LOU Rugby,20'-40',20,3,Oyonnax Rugby,Mêlée,1700573346.0289078,1700573361.042376,10m2,6,22m4,10,Pénalité -,Jeu au pied,4,0,0,1,0,0,0,0
Oyonnax Rugby - LOU Rugby,20'-40',20,3,Oyonnax Rugby,Touche,1700573376.0560083,1700573395.264535,10m2,6,22m4,10,Perte,Jeu au pied,4,1,0,1,0,0,0,0
Oyonnax Rugby - LOU Rugby,20'-40',20,3,Oyonnax Rugby,Touche,1700573402.0360243,1700573520.2332168,40m3,7,22m4,10,Pénalité +,Ruck,10,13,1,0,0,0,7,0
Oyonnax Rugby - LOU Rugby,20'-40',23,3,Oyonnax Rugby,Coup de pied,1700573540.6324818,1700573592.1565154,40m1,3,22m3,9,Touche,Dégagement,1,2,0,1,0,0,0,1
