Match,Chrono,Score_team1,Score_team2,Possession,Start_type,Start_time,End_time,Start_zone,Start_zone_value,End_zone,End_zone_value,Résultat,Dernière action,Passe,Ruck,Offload,Jeu au pied,Maul,Relâché,Départ ruck,Dégagement
USAP - Montpellier Hérault Rugby,0'-20',0,0,USAP,Coup de pied,1700590243.363616,1700590293.0070884,40m4,8,40m4,8,Pénalité -,Passe,1,3,0,0,0,0,2,0
USAP - Montpellier Hérault Rugby,0'-20',0,0,Montpellier Hérault Rugby,Mêlée,1700590313.815016,1700590339.2008746,40m1,3,40m4,8,Perte,Jeu au pied,1,1,0,1,0,0,0,0
USAP - Montpellier Hérault Rugby,0'-20',0,0,Montpellier Hérault Rugby,Touche,1700590422.024194,1700590463.4528897,40m4,8,22m4,10,Perte,Jeu au pied,5,6,0,1,0,0,0,0
USAP - Montpellier Hérault Rugby,0'-20',0,0,USAP,Coup de pied,1700590468.9335215,1700590475.416925,22m1,1,22m1,1,Perte,Ruck,0,1,0,0,0,0,0,0
USAP - Montpellier Hérault Rugby,0'-20',0,0,Montpellier Hérault Rugby,Turnover,1700590486.6635637,1700590500.0729036,22m4,10,22m4,10,Pénalité -,Passe,4,0,0,0,0,0,0,0
USAP - Montpellier Hérault Rugby,0'-20',0,0,Montpellier Hérault Rugby,Coup de pied,1700590519.616701,1700590570.9829917,40m3,7,40m4,8,Pénalité +,Passe,11,6,0,0,0,0,0,0
USAP - Montpellier Hérault Rugby,0'-20',0,3,Montpellier Hérault Rugby,Coup de pied,1700590597.7320056,1700590630.9521768,40m1,3,40m4,8,Perte,Dégagement,3,1,0,0,0,0,0,1
USAP - Montpellier Hérault Rugby,0'-20',0,3,USAP,Coup de pied,1700590636.5957484,1700590675.6461678,10m1,5,10m1,5,Pénalité -,Jeu au pied,4,3,0,1,0,0,0,0
USAP - Montpellier Hérault Rugby,0'-20',0,3,Montpellier Hérault Rugby,Touche,1700590715.147625,1700590742.0379522,10m1,5,10m2,6,Pénalité -,Jeu au pied,1,2,0,1,0,0,0,0
USAP - Montpellier Hérault Rugby,0'-20',0,3,USAP,Touche,1700590756.1293986,1700590825.7399344,22m3,9,22m3,9,Pénalité +,Passe,8,6,0,0,1,0,1,0
USAP - Montpellier Hérault Rugby,0'-20',3,3,USAP,Coup de pied,1700590850.8597481,1700590877.3991833,22m2,2,10m1,5,Perte,Dégagement,1,1,0,0,0,0,0,1
USAP - Montpellier Hérault Rugby,0'-20',3,3,Montpellier Hérault Rugby,Coup de pied,1700590884.2779505,1700590917.8952641,10m2,6,40m3,7,Pénalité +,Départ ruck,6,4,0,0,0,0,1,0
USAP - Montpellier Hérault Rugby,0'-20',3,3,Montpellier Hérault Rugby,Touche,1700590945.8787699,1700590999.8787699,22m4,10,En-but,11,Essai,Passe,5,5,0,0,0,0,2,0
USAP - Montpellier Hérault Rugby,0'-20',3,10,Montpellier Hérault Rugby,Coup de pied,1700591022.6162198,1700591047.8441105,40m1,3,40m3,7,Perte,Dégagement,1,1,0,0,0,0,0,1
USAP - Montpellier Hérault Rugby,0'-20',3,10,USAP,Coup de pied,1700591053.0698168,1700591054.735784,40m2,4,10m2,6,Pénalité +,,0,0,0,0,0,0,0,0
USAP - Montpellier Hérault Rugby,0'-20',3,10,USAP,Mêlée,1700591091.0817542,1700591127.4648497,10m2,6,40m3,7,Pénalité +,Passe,5,4,0,0,0,0,1,0
USAP - Montpellier Hérault Rugby,20'-40',6,10,USAP,Coup de pied,1700591157.9229476,1700591181.183595,22m2,2,10m2,6,Touche,Dégagement,2,1,0,0,0,0,0,1
USAP - Montpellier Hérault Rugby,20'-40',6,10,Montpellier Hérault Rugby,Touche,1700591214.1886172,1700591241.361146,10m2,6,40m3,7,Pénalité -,Jeu au pied,4,1,1,0,0,0,0,0
USAP - Montpellier Hérault Rugby,20'-40',6,10,USAP,Touche,1700591278.6494756,1700591335.7567978,40m4,8,22m3,9,Pénalité -,Ruck,6,4,0,0,0,0,0,0
USAP - Montpellier Hérault Rugby,20'-40',6,10,Montpellier Hérault Rugby,Touche,1700591348.8351867,1700591360.773675,10m1,5,40m3,7,Perte,Offload,0,0,1,0,0,0,0,0
USAP - Montpellier Hérault Rugby,20'-40',6,10,USAP,Turnover,1700591366.9525213,1700591420.1226401,40m2,4,10m1,5,Touche,Dégagement,6,4,0,0,0,0,0,1
USAP - Montpellier Hérault Rugby,20'-40',6,10,Montpellier Hérault Rugby,Touche,1700591440.2826588,1700591456.7913876,10m2,6,22m3,9,Touche,Jeu au pied,0,1,0,1,0,0,0,0
USAP - Montpellier Hérault Rugby,20'-40',6,10,USAP,Touche,1700591476.6215112,1700591495.8133557,22m2,2,10m1,5,Touche,Dégagement,3,1,0,0,0,0,0,1
USAP - Montpellier Hérault Rugby,20'-40',6,10,Montpellier Hérault Rugby,Touche,1700591514.8644,1700591533.1365273,10m2,6,22m3,9,Perte,Jeu au pied,1,0,1,1,0,0,0,0
USAP - Montpellier Hérault Rugby,20'-40',6,10,USAP,Coup de pied,1700591537.3066304,1700591547.4423847,22m2,2,10m2,6,Touche,Dégagement,2,0,0,0,0,0,0,1
USAP - Montpellier Hérault Rugby,20'-40',6,10,Montpellier Hérault Rugby,Touche,1700591565.265329,1700591596.9929368,10m1,5,10m2,6,Pénalité -,Maul,8,2,0,0,1,0,0,0
USAP - Montpellier Hérault Rugby,20'-40',6,10,USAP,Touche,1700591613.2064254,1700591676.3366883,22m3,9,22m3,9,Pénalité +,Ruck,4,7,0,0,1,0,2,0
USAP - Montpellier Hérault Rugby,20'-40',9,10,USAP,Coup de pied,1700591698.1097517,1700591756.4370093,22m2,2,10m2,6,Perte,Jeu au pied,3,4,0,1,1,0,2,0
USAP - Montpellier Hérault Rugby,20'-40',9,10,Montpellier Hérault Rugby,Coup de pied,1700591761.7000453,1700591786.437288,10m1,5,40m3,7,Perte,Jeu au pied,1,2,0,1,0,0,0,0
USAP - Montpellier Hérault Rugby,20'-40',9,10,USAP,Coup de pied,1700591792.919222,1700591803.915446,40m2,4,40m2,4,Pénalité +,Ruck,1,2,0,0,0,0,0,0
USAP - Montpellier Hérault Rugby,20'-40',9,10,USAP,Touche,1700591809.8232126,1700591839.485606,40m4,8,40m4,8,Perte,Ruck,4,2,0,0,0,0,0,0
USAP - Montpellier Hérault Rugby,20'-40',9,10,Montpellier Hérault Rugby,Turnover,1700591845.113335,1700591848.9085195,40m1,3,40m1,3,Perte,Offload,0,0,1,0,0,0,0,0
USAP - Montpellier Hérault Rugby,20'-40',9,10,USAP,Turnover,1700591860.9566798,1700591869.0573952,40m4,8,40m4,8,Pénalité +,Ruck,0,1,0,0,0,0,0,0
USAP - Montpellier Hérault Rugby,20'-40',9,10,USAP,Touche,1700591891.9742618,1700591943.25577,10m1,5,10m1,5,Pénalité +,Maul,0,0,0,0,1,0,0,0
USAP - Montpellier Hérault Rugby,20'-40',9,10,USAP,Touche,1700591946.165734,1700591982.3984888,22m4,10,22m4,10,Pénalité +,Ruck,0,1,0,0,1,0,0,0
USAP - Montpellier Hérault Rugby,20'-40',9,10,USAP,,1700591989.109359,1700592001.7309864,22m4,10,En-but,11,Essai,Maul,0,0,0,0,1,0,0,0
USAP - Montpellier Hérault Rugby,40'-60',16,10,Montpellier Hérault Rugby,Coup de pied,1700592103.5887792,1700592124.5672963,40m1,3,40m3,7,Perte,Dégagement,1,1,0,0,0,0,0,1
USAP - Montpellier Hérault Rugby,40'-60',16,13,USAP,Coup de pied,1700592136.6158893,1700592144.9340892,40m2,4,40m2,4,Pénalité -,Dégagement,1,0,0,0,0,0,0,1
USAP - Montpellier Hérault Rugby,40'-60',16,13,Montpellier Hérault Rugby,Mêlée,1700592170.3966935,1700592197.677913,40m3,7,22m3,9,Perte,Jeu au pied,1,0,0,1,0,0,0,0
USAP - Montpellier Hérault Rugby,40'-60',16,13,USAP,Coup de pied,1700592206.2936308,1700592210.6496398,22m1,1,22m1,1,Perte,Ruck,0,1,0,0,0,0,0,0
USAP - Montpellier Hérault Rugby,40'-60',16,13,Montpellier Hérault Rugby,Turnover,1700592234.3694375,1700592264.1609008,22m4,10,22m4,10,Pénalité -,Ruck,0,3,0,0,0,0,3,0
USAP - Montpellier Hérault Rugby,40'-60',16,13,USAP,Touche,1700592278.6085985,1700592288.6938977,40m2,4,40m2,4,Perte,Passe,4,0,0,0,0,0,0,0
USAP - Montpellier Hérault Rugby,40'-60',16,13,Montpellier Hérault Rugby,Turnover,1700592294.544142,1700592333.4596128,10m2,6,40m3,7,Pénalité +,Passe,4,3,0,1,0,0,0,0
USAP - Montpellier Hérault Rugby,40'-60',16,16,Montpellier Hérault Rugby,Coup de pied,1700592377.9355962,1700592408.1236207,40m1,3,40m3,7,Perte,Jeu au pied,0,1,0,1,0,0,0,0
USAP - Montpellier Hérault Rugby,40'-60',16,16,USAP,Coup de pied,1700592418.8107862,1700592500.1684937,40m2,4,10m2,6,Perte,Passe,12,8,0,1,0,0,0,0
USAP - Montpellier Hérault Rugby,40'-60',16,16,Montpellier Hérault Rugby,Turnover,1700592518.6454144,1700592531.6842644,40m2,4,10m2,6,Perte,Jeu au pied,1,2,0,1,0,0,1,0
USAP - Montpellier Hérault Rugby,40'-60',16,16,USAP,Coup de pied,1700592536.7210073,1700592550.2026658,10m1,5,40m3,7,Pénalité -,Passe,2,1,0,0,0,0,0,0
USAP - Montpellier Hérault Rugby,40'-60',16,16,USAP,Coup de pied,1700592604.8189487,1700592638.1114497,22m2,2,40m1,3,Touche,Dégagement,3,2,0,0,0,0,0,1
USAP - Montpellier Hérault Rugby,40'-60',16,16,Montpellier Hérault Rugby,Coup de pied,1700592664.506405,1700592673.6059616,40m1,3,10m2,6,Perte,Jeu au pied,0,0,0,1,0,0,0,0
USAP - Montpellier Hérault Rugby,40'-60',16,16,USAP,Coup de pied,1700592680.6388073,1700592694.492242,10m1,5,40m4,8,Perte,Dégagement,2,2,0,0,0,0,0,1
USAP - Montpellier Hérault Rugby,40'-60',16,16,Montpellier Hérault Rugby,Coup de pied,1700592699.450435,1700592705.3504932,40m1,3,22m3,9,Perte,Dégagement,0,0,0,0,0,0,0,1
USAP - Montpellier Hérault Rugby,40'-60',16,16,USAP,Coup de pied,1700592734.5116127,1700592769.144473,40m1,3,40m4,8,Perte,Dégagement,4,4,0,0,0,0,0,1
USAP - Montpellier Hérault Rugby,40'-60',16,16,USAP,Turnover,1700592773.3881943,1700592799.508134,10m1,5,22m4,10,Pénalité -,Jeu au pied,0,0,0,1,0,0,0,0
USAP - Montpellier Hérault Rugby,40'-60',16,16,Montpellier Hérault Rugby,Mêlée,1700592898.7992716,1700592919.7992716,22m1,1,22m2,2,Touche,Dégagement,1,1,0,0,0,0,0,1
USAP - Montpellier Hérault Rugby,40'-60',16,16,USAP,Touche,1700592937.3348706,1700592960.1503022,22m3,9,22m3,9,Pénalité +,Ruck,0,1,0,0,1,0,0,0
USAP - Montpellier Hérault Rugby,40'-60',16,16,USAP,Touche,1700592968.5310261,1700592998.6159146,22m4,10,22m4,10,Pénalité -,Ruck,2,3,0,0,0,0,1,0
USAP - Montpellier Hérault Rugby,60'-80',16,16,Montpellier Hérault Rugby,Touche,1700593029.794383,1700593055.1934552,40m1,3,40m3,7,Perte,Dégagement,2,1,0,0,0,0,0,1
USAP - Montpellier Hérault Rugby,60'-80',16,16,USAP,Coup de pied,1700593058.6676967,1700593083.6683142,40m2,4,10m2,6,Pénalité -,Jeu au pied,1,3,0,1,0,0,1,0
USAP - Montpellier Hérault Rugby,60'-80',16,16,USAP,Coup de pied,1700593140.2830732,1700593156.7357237,40m2,4,10m2,6,Touche,Dégagement,0,1,0,0,0,0,0,1
USAP - Montpellier Hérault Rugby,60'-80',16,16,USAP,Touche,1700593173.964813,1700593197.3775806,10m2,6,22m3,9,Perte,Jeu au pied,6,1,0,1,0,0,0,0
USAP - Montpellier Hérault Rugby,60'-80',16,16,Montpellier Hérault Rugby,Coup de pied,1700593201.7577872,1700593224.3686461,22m2,2,10m2,6,Perte,Dégagement,0,1,0,0,0,0,0,1
USAP - Montpellier Hérault Rugby,60'-80',16,16,USAP,Coup de pied,1700593228.2379205,1700593252.2053297,10m1,5,40m3,7,Pénalité -,Jeu au pied,4,2,0,1,0,0,0,0
USAP - Montpellier Hérault Rugby,60'-80',16,16,Montpellier Hérault Rugby,Coup de pied,1700593310.3916144,1700593357.400581,40m1,3,40m2,4,Perte,Ruck,1,2,0,0,0,0,0,0
USAP - Montpellier Hérault Rugby,60'-80',16,16,USAP,Turnover,1700593367.3883505,1700593388.3108788,40m3,7,22m3,9,Touche,Jeu au pied,5,1,0,1,0,0,0,0
USAP - Montpellier Hérault Rugby,60'-80',16,16,Montpellier Hérault Rugby,Touche,1700593406.5801427,1700593439.082601,22m2,2,10m2,6,Perte,Dégagement,2,2,0,0,0,0,0,1
USAP - Montpellier Hérault Rugby,60'-80',16,16,USAP,Coup de pied,1700593447.8573406,1700593516.273075,10m1,5,En-but,11,Essai,Jeu au pied,15,8,0,1,0,0,0,0
USAP - Montpellier Hérault Rugby,60'-80',23,16,USAP,Coup de pied,1700593540.2132025,1700593563.109219,22m2,2,40m1,3,Pénalité +,Passe,1,1,0,0,0,0,0,0
USAP - Montpellier Hérault Rugby,60'-80',23,16,USAP,Touche,1700593568.1512403,1700593582.578761,10m2,6,40m3,7,Pénalité -,Maul,0,0,0,0,1,0,0,0
USAP - Montpellier Hérault Rugby,60'-80',23,16,Montpellier Hérault Rugby,Touche,1700593604.8047454,1700593671.1862848,40m3,7,22m4,10,Pénalité +,Ruck,11,10,0,0,0,0,2,0
USAP - Montpellier Hérault Rugby,60'-80',23,16,Montpellier Hérault Rugby,Touche,1700593702.6957166,1700593726.7025912,22m4,10,22m4,10,Pénalité -,Ruck,0,1,0,0,1,0,0,0
